Reviewer,Document,Method,Document_Type,Criterion,Criterion_Raw,Description,Score,Comments
Reviewer_2,Scope A,Manual,Scope,Consistency,Συνέπεια / Consistency,"Το έγγραφο δεν περιέχει εσωτερικές αντιφάσεις, επαναλήψεις ή συγκρουόμενες πληροφορίες μεταξύ ενοτήτων.",4,Scope A: Επαναλήψεις μεταξύ ενοτήτων 1 και 1.1 κυρίως ως προς την υφιστάμενη διαδικασία Scope B: FRS A: FRS B: Στην high-level περιγραφή των functional requirements υπάρχει αντίφαση σε σχέση με παρακάτω που φαίνεται να κάνει τον έλεγχο πριν την είσοδο στο altamira.
Reviewer_2,Scope A,Manual,Scope,Traceability,Ιχνηλασιμότητα / Traceability,"Οι απαιτήσεις και οι ενότητες του εγγράφου μπορούν να συνδεθούν λογικά με επιχειρησιακές ανάγκες, stakeholders ή πηγές πληροφόρησης.",4,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,Scope A,Manual,Scope,Testability,Επαληθευσιμότητα / Verifiability / Testability,"Οι απαιτήσεις είναι διατυπωμένες με τρόπο που επιτρέπει έλεγχο, επιβεβαίωση, testing ή μετατροπή σε acceptance criteria.",4,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,Scope A,Manual,Scope,Business Relevance,Επιχειρησιακή συνάφεια / Business Relevance,Το έγγραφο αντανακλά ουσιαστική επιχειρησιακή αξία και υποστηρίζει τη λήψη αποφάσεων στο έργο,5,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,Scope A,Manual,Scope,Structure & Readability,Δομή και αναγνωσιμότητα / Structure & Readability,"Το έγγραφο είναι οργανωμένο, ευανάγνωστο, ακολουθεί λογική ροή και μπορεί να χρησιμοποιηθεί εύκολα από stakeholders.",4,"Scope A: Scope B: Λείπει η υπο-ενότητα Flowcharts από τον πίνακα περιεχομένων. FRS A: FRS B: Στο project scope τα έχει λίγο μπλεγμένα. Έχει βάλει μαζί in scope, out of scope, δυνατότητες επέκτασης και οφέλη"
Reviewer_2,Scope A,Manual,Scope,Actionability,Λειτουργική χρησιμότητα / Actionability,"Το έγγραφο μπορεί να χρησιμοποιηθεί πρακτικά από BA, PM, development team, QA ή business stakeholders για τα επόμενα βήματα του έργου.",5,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,Scope A,Manual,Scope,Required Rework,Ανάγκη επανεπεξεργασίας / Required Rework,Το έγγραφο απαιτεί μικρή ή καθόλου επιπλέον επεξεργασία ώστε να θεωρηθεί έτοιμο για επαγγελματική χρήση.,5,"Scope A: Scope B: FRS A: FRS B: Δεν εξήγαγε τις περισσότερες εικόνες από το recording, καθώς και ορισμένα βήματα προς το τέλος. Επίσης, ορισμένες ακόμη διορθώσεις σε επίπεδο περιεχομένου και δομής."
Reviewer_2,Scope B,AI-generated,Scope,Completeness,Πληρότητα / Completeness,"Το έγγραφο καλύπτει επαρκώς τις βασικές επιχειρησιακές ανάγκες, λειτουργίες, απαιτήσεις, περιορισμούς και παραδοχές του έργου.",4,"Scope A: Scope B: Δεν έχουν καταγραφεί επαρκώς οι reporting απαιτήσεις (όπως στο Α) FRS A: Λείπουν το out of scope, το report και την αποστολή σε εσωτερικούς stakeholders FRS B: Λείπουν η αποθήκευση σαν in scope λειτουργικότητα, ο κανόνας σχετικά με την αποστολή ή μη e-mail σε πελάτη και η εύρεση του λογαριασμού για να γίνει η συνναλαγή"
Reviewer_2,Scope B,AI-generated,Scope,Correctness,Ακρίβεια / Correctness,"Οι πληροφορίες που περιλαμβάνονται στο έγγραφο είναι ορθές, δεν αλλοιώνουν το business context και δεν εισάγουν λανθασμένες ή μη τεκμηριωμένες απαιτήσεις.",4,Scope A: Scope B: Δεν έχει καταγραφεί η υφιστάμενη διαδικασία FRS A: FRS B:
Reviewer_2,Scope B,AI-generated,Scope,Clarity & Unambiguity,Σαφήνεια / Clarity & Unambiguity,"Οι απαιτήσεις και οι περιγραφές είναι σαφείς, κατανοητές και δεν επιτρέπουν πολλαπλές ή αντικρουόμενες ερμηνείες.",5,Scope A: Οι απαντήσεις στην ενότητα 7 και συγκεκριμένα στα b και c δε συνάδουν με τις περιγραφές που διάβασα στο Scope B Scope B: FRS A: FRS B: Στην high-level περιγραφή των functional requirements υπάρχει αντίφαση σε σχέση με παρακάτω που φαίνεται να κάνει τον έλεγχο πριν την είσοδο στο altamira.
Reviewer_2,Scope B,AI-generated,Scope,Consistency,Συνέπεια / Consistency,"Το έγγραφο δεν περιέχει εσωτερικές αντιφάσεις, επαναλήψεις ή συγκρουόμενες πληροφορίες μεταξύ ενοτήτων.",5,Scope A: Επαναλήψεις μεταξύ ενοτήτων 1 και 1.1 κυρίως ως προς την υφιστάμενη διαδικασία Scope B: FRS A: FRS B: Στην high-level περιγραφή των functional requirements υπάρχει αντίφαση σε σχέση με παρακάτω που φαίνεται να κάνει τον έλεγχο πριν την είσοδο στο altamira.
Reviewer_2,Scope B,AI-generated,Scope,Traceability,Ιχνηλασιμότητα / Traceability,"Οι απαιτήσεις και οι ενότητες του εγγράφου μπορούν να συνδεθούν λογικά με επιχειρησιακές ανάγκες, stakeholders ή πηγές πληροφόρησης.",4,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,Scope B,AI-generated,Scope,Testability,Επαληθευσιμότητα / Verifiability / Testability,"Οι απαιτήσεις είναι διατυπωμένες με τρόπο που επιτρέπει έλεγχο, επιβεβαίωση, testing ή μετατροπή σε acceptance criteria.",4,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,Scope B,AI-generated,Scope,Business Relevance,Επιχειρησιακή συνάφεια / Business Relevance,Το έγγραφο αντανακλά ουσιαστική επιχειρησιακή αξία και υποστηρίζει τη λήψη αποφάσεων στο έργο,5,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,Scope B,AI-generated,Scope,Structure & Readability,Δομή και αναγνωσιμότητα / Structure & Readability,"Το έγγραφο είναι οργανωμένο, ευανάγνωστο, ακολουθεί λογική ροή και μπορεί να χρησιμοποιηθεί εύκολα από stakeholders.",4,"Scope A: Scope B: Λείπει η υπο-ενότητα Flowcharts από τον πίνακα περιεχομένων. FRS A: FRS B: Στο project scope τα έχει λίγο μπλεγμένα. Έχει βάλει μαζί in scope, out of scope, δυνατότητες επέκτασης και οφέλη"
Reviewer_2,Scope B,AI-generated,Scope,Actionability,Λειτουργική χρησιμότητα / Actionability,"Το έγγραφο μπορεί να χρησιμοποιηθεί πρακτικά από BA, PM, development team, QA ή business stakeholders για τα επόμενα βήματα του έργου.",5,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,Scope B,AI-generated,Scope,Required Rework,Ανάγκη επανεπεξεργασίας / Required Rework,Το έγγραφο απαιτεί μικρή ή καθόλου επιπλέον επεξεργασία ώστε να θεωρηθεί έτοιμο για επαγγελματική χρήση.,4,"Scope A: Scope B: FRS A: FRS B: Δεν εξήγαγε τις περισσότερες εικόνες από το recording, καθώς και ορισμένα βήματα προς το τέλος. Επίσης, ορισμένες ακόμη διορθώσεις σε επίπεδο περιεχομένου και δομής."
Reviewer_2,FRS A,Manual,FRS,Completeness,Πληρότητα / Completeness,"Το έγγραφο καλύπτει επαρκώς τις βασικές επιχειρησιακές ανάγκες, λειτουργίες, απαιτήσεις, περιορισμούς και παραδοχές του έργου.",4,"Scope A: Scope B: Δεν έχουν καταγραφεί επαρκώς οι reporting απαιτήσεις (όπως στο Α) FRS A: Λείπουν το out of scope, το report και την αποστολή σε εσωτερικούς stakeholders FRS B: Λείπουν η αποθήκευση σαν in scope λειτουργικότητα, ο κανόνας σχετικά με την αποστολή ή μη e-mail σε πελάτη και η εύρεση του λογαριασμού για να γίνει η συνναλαγή"
Reviewer_2,FRS A,Manual,FRS,Correctness,Ακρίβεια / Correctness,"Οι πληροφορίες που περιλαμβάνονται στο έγγραφο είναι ορθές, δεν αλλοιώνουν το business context και δεν εισάγουν λανθασμένες ή μη τεκμηριωμένες απαιτήσεις.",4,Scope A: Scope B: Δεν έχει καταγραφεί η υφιστάμενη διαδικασία FRS A: FRS B:
Reviewer_2,FRS A,Manual,FRS,Clarity & Unambiguity,Σαφήνεια / Clarity & Unambiguity,"Οι απαιτήσεις και οι περιγραφές είναι σαφείς, κατανοητές και δεν επιτρέπουν πολλαπλές ή αντικρουόμενες ερμηνείες.",5,Scope A: Οι απαντήσεις στην ενότητα 7 και συγκεκριμένα στα b και c δε συνάδουν με τις περιγραφές που διάβασα στο Scope B Scope B: FRS A: FRS B: Στην high-level περιγραφή των functional requirements υπάρχει αντίφαση σε σχέση με παρακάτω που φαίνεται να κάνει τον έλεγχο πριν την είσοδο στο altamira.
Reviewer_2,FRS A,Manual,FRS,Consistency,Συνέπεια / Consistency,"Το έγγραφο δεν περιέχει εσωτερικές αντιφάσεις, επαναλήψεις ή συγκρουόμενες πληροφορίες μεταξύ ενοτήτων.",5,Scope A: Επαναλήψεις μεταξύ ενοτήτων 1 και 1.1 κυρίως ως προς την υφιστάμενη διαδικασία Scope B: FRS A: FRS B: Στην high-level περιγραφή των functional requirements υπάρχει αντίφαση σε σχέση με παρακάτω που φαίνεται να κάνει τον έλεγχο πριν την είσοδο στο altamira.
Reviewer_2,FRS A,Manual,FRS,Traceability,Ιχνηλασιμότητα / Traceability,"Οι απαιτήσεις και οι ενότητες του εγγράφου μπορούν να συνδεθούν λογικά με επιχειρησιακές ανάγκες, stakeholders ή πηγές πληροφόρησης.",4,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,FRS A,Manual,FRS,Testability,Επαληθευσιμότητα / Verifiability / Testability,"Οι απαιτήσεις είναι διατυπωμένες με τρόπο που επιτρέπει έλεγχο, επιβεβαίωση, testing ή μετατροπή σε acceptance criteria.",5,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,FRS A,Manual,FRS,Business Relevance,Επιχειρησιακή συνάφεια / Business Relevance,Το έγγραφο αντανακλά ουσιαστική επιχειρησιακή αξία και υποστηρίζει τη λήψη αποφάσεων στο έργο,5,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,FRS A,Manual,FRS,Structure & Readability,Δομή και αναγνωσιμότητα / Structure & Readability,"Το έγγραφο είναι οργανωμένο, ευανάγνωστο, ακολουθεί λογική ροή και μπορεί να χρησιμοποιηθεί εύκολα από stakeholders.",5,"Scope A: Scope B: Λείπει η υπο-ενότητα Flowcharts από τον πίνακα περιεχομένων. FRS A: FRS B: Στο project scope τα έχει λίγο μπλεγμένα. Έχει βάλει μαζί in scope, out of scope, δυνατότητες επέκτασης και οφέλη"
Reviewer_2,FRS A,Manual,FRS,Actionability,Λειτουργική χρησιμότητα / Actionability,"Το έγγραφο μπορεί να χρησιμοποιηθεί πρακτικά από BA, PM, development team, QA ή business stakeholders για τα επόμενα βήματα του έργου.",5,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,FRS A,Manual,FRS,Required Rework,Ανάγκη επανεπεξεργασίας / Required Rework,Το έγγραφο απαιτεί μικρή ή καθόλου επιπλέον επεξεργασία ώστε να θεωρηθεί έτοιμο για επαγγελματική χρήση.,4,"Scope A: Scope B: FRS A: FRS B: Δεν εξήγαγε τις περισσότερες εικόνες από το recording, καθώς και ορισμένα βήματα προς το τέλος. Επίσης, ορισμένες ακόμη διορθώσεις σε επίπεδο περιεχομένου και δομής."
Reviewer_2,FRS B,AI-generated,FRS,Completeness,Πληρότητα / Completeness,"Το έγγραφο καλύπτει επαρκώς τις βασικές επιχειρησιακές ανάγκες, λειτουργίες, απαιτήσεις, περιορισμούς και παραδοχές του έργου.",4,"Scope A: Scope B: Δεν έχουν καταγραφεί επαρκώς οι reporting απαιτήσεις (όπως στο Α) FRS A: Λείπουν το out of scope, το report και την αποστολή σε εσωτερικούς stakeholders FRS B: Λείπουν η αποθήκευση σαν in scope λειτουργικότητα, ο κανόνας σχετικά με την αποστολή ή μη e-mail σε πελάτη και η εύρεση του λογαριασμού για να γίνει η συνναλαγή"
Reviewer_2,FRS B,AI-generated,FRS,Correctness,Ακρίβεια / Correctness,"Οι πληροφορίες που περιλαμβάνονται στο έγγραφο είναι ορθές, δεν αλλοιώνουν το business context και δεν εισάγουν λανθασμένες ή μη τεκμηριωμένες απαιτήσεις.",4,Scope A: Scope B: Δεν έχει καταγραφεί η υφιστάμενη διαδικασία FRS A: FRS B:
Reviewer_2,FRS B,AI-generated,FRS,Clarity & Unambiguity,Σαφήνεια / Clarity & Unambiguity,"Οι απαιτήσεις και οι περιγραφές είναι σαφείς, κατανοητές και δεν επιτρέπουν πολλαπλές ή αντικρουόμενες ερμηνείες.",4,Scope A: Οι απαντήσεις στην ενότητα 7 και συγκεκριμένα στα b και c δε συνάδουν με τις περιγραφές που διάβασα στο Scope B Scope B: FRS A: FRS B: Στην high-level περιγραφή των functional requirements υπάρχει αντίφαση σε σχέση με παρακάτω που φαίνεται να κάνει τον έλεγχο πριν την είσοδο στο altamira.
Reviewer_2,FRS B,AI-generated,FRS,Consistency,Συνέπεια / Consistency,"Το έγγραφο δεν περιέχει εσωτερικές αντιφάσεις, επαναλήψεις ή συγκρουόμενες πληροφορίες μεταξύ ενοτήτων.",4,Scope A: Επαναλήψεις μεταξύ ενοτήτων 1 και 1.1 κυρίως ως προς την υφιστάμενη διαδικασία Scope B: FRS A: FRS B: Στην high-level περιγραφή των functional requirements υπάρχει αντίφαση σε σχέση με παρακάτω που φαίνεται να κάνει τον έλεγχο πριν την είσοδο στο altamira.
Reviewer_2,FRS B,AI-generated,FRS,Traceability,Ιχνηλασιμότητα / Traceability,"Οι απαιτήσεις και οι ενότητες του εγγράφου μπορούν να συνδεθούν λογικά με επιχειρησιακές ανάγκες, stakeholders ή πηγές πληροφόρησης.",4,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,FRS B,AI-generated,FRS,Testability,Επαληθευσιμότητα / Verifiability / Testability,"Οι απαιτήσεις είναι διατυπωμένες με τρόπο που επιτρέπει έλεγχο, επιβεβαίωση, testing ή μετατροπή σε acceptance criteria.",5,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,FRS B,AI-generated,FRS,Business Relevance,Επιχειρησιακή συνάφεια / Business Relevance,Το έγγραφο αντανακλά ουσιαστική επιχειρησιακή αξία και υποστηρίζει τη λήψη αποφάσεων στο έργο,5,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,FRS B,AI-generated,FRS,Structure & Readability,Δομή και αναγνωσιμότητα / Structure & Readability,"Το έγγραφο είναι οργανωμένο, ευανάγνωστο, ακολουθεί λογική ροή και μπορεί να χρησιμοποιηθεί εύκολα από stakeholders.",4,"Scope A: Scope B: Λείπει η υπο-ενότητα Flowcharts από τον πίνακα περιεχομένων. FRS A: FRS B: Στο project scope τα έχει λίγο μπλεγμένα. Έχει βάλει μαζί in scope, out of scope, δυνατότητες επέκτασης και οφέλη"
Reviewer_2,FRS B,AI-generated,FRS,Actionability,Λειτουργική χρησιμότητα / Actionability,"Το έγγραφο μπορεί να χρησιμοποιηθεί πρακτικά από BA, PM, development team, QA ή business stakeholders για τα επόμενα βήματα του έργου.",5,Scope A: Scope B: FRS A: FRS B:
Reviewer_2,FRS B,AI-generated,FRS,Required Rework,Ανάγκη επανεπεξεργασίας / Required Rework,Το έγγραφο απαιτεί μικρή ή καθόλου επιπλέον επεξεργασία ώστε να θεωρηθεί έτοιμο για επαγγελματική χρήση.,3,"Scope A: Scope B: FRS A: FRS B: Δεν εξήγαγε τις περισσότερες εικόνες από το recording, καθώς και ορισμένα βήματα προς το τέλος. Επίσης, ορισμένες ακόμη διορθώσεις σε επίπεδο περιεχομένου και δομής."
