Individual_Item,Item_Label,Composite_Construct,Spearman_Rho,p_value,Significance
Q36,AI ενισχύει επαγγελματισμό,Perceived Usefulness (PU),0.609,0.0003,***
Q25,Ακρίβεια αποτελεσμάτων,Εμπιστοσύνη στην AI,0.569,0.0008,***
Q34,AI βελτιώνει ποιότητα εργασίας,Αυτοπεποίθηση Λήψης Αποφάσεων,0.563,0.001,***
Q34,AI βελτιώνει ποιότητα εργασίας,Πραγματική Χρήση AI,0.536,0.0019,**
Q36,AI ενισχύει επαγγελματισμό,Εξοικονόμηση Χρόνου,0.53,0.0022,**
Q34,AI βελτιώνει ποιότητα εργασίας,Εξοικονόμηση Χρόνου,0.529,0.0022,**
Q35,AI βελτιώνει αποτελέσματα,Εξοικονόμηση Χρόνου,0.517,0.0029,**
Q26,Συνέπεια αποτελεσμάτων,Εμπιστοσύνη στην AI,0.499,0.0043,**
Q35,AI βελτιώνει αποτελέσματα,Perceived Usefulness (PU),0.491,0.0051,**
Q36,AI ενισχύει επαγγελματισμό,Πραγματική Χρήση AI,0.472,0.0074,**
Q42,Ανασφάλεια χωρίς επίβλεψη,Perceived Ease of Use (PEOU),-0.462,0.0089,**
Q35,AI βελτιώνει αποτελέσματα,Πραγματική Χρήση AI,0.417,0.0195,*
Q35,AI βελτιώνει αποτελέσματα,Behavioral Intention (BI),0.335,0.0656,ns
Q35,AI βελτιώνει αποτελέσματα,Αυτοπεποίθηση Λήψης Αποφάσεων,0.332,0.0683,ns
Q36,AI ενισχύει επαγγελματισμό,Αυτοπεποίθηση Λήψης Αποφάσεων,0.331,0.0694,ns
Q34,AI βελτιώνει ποιότητα εργασίας,Perceived Usefulness (PU),0.33,0.0699,ns
Q27,Πληρότητα παραδοτέων,Αυτοπεποίθηση Λήψης Αποφάσεων,0.323,0.0761,ns
Q34,AI βελτιώνει ποιότητα εργασίας,Behavioral Intention (BI),0.298,0.103,ns
Q41,Ανθρώπινη επίβλεψη απαραίτητη,Perceived Ease of Use (PEOU),-0.26,0.1573,ns
Q36,AI ενισχύει επαγγελματισμό,Behavioral Intention (BI),0.259,0.16,ns
Q36,AI ενισχύει επαγγελματισμό,Εμπιστοσύνη στην AI,0.242,0.1906,ns
Q40,Ελέγχω αποτελέσματα AI,Πραγματική Χρήση AI,0.23,0.2138,ns
Q40,Ελέγχω αποτελέσματα AI,Εξοικονόμηση Χρόνου,0.23,0.2136,ns
Q42,Ανασφάλεια χωρίς επίβλεψη,Εμπιστοσύνη στην AI,0.23,0.2133,ns
Q26,Συνέπεια αποτελεσμάτων,Αυτοπεποίθηση Λήψης Αποφάσεων,0.212,0.252,ns
Q25,Ακρίβεια αποτελεσμάτων,Αυτοπεποίθηση Λήψης Αποφάσεων,0.208,0.261,ns
Q40,Ελέγχω αποτελέσματα AI,Εμπιστοσύνη στην AI,-0.193,0.2985,ns
Q26,Συνέπεια αποτελεσμάτων,Behavioral Intention (BI),0.179,0.3359,ns
Q27,Πληρότητα παραδοτέων,Εξοικονόμηση Χρόνου,0.178,0.3377,ns
Q26,Συνέπεια αποτελεσμάτων,Perceived Usefulness (PU),0.177,0.3422,ns
Q27,Πληρότητα παραδοτέων,Perceived Ease of Use (PEOU),-0.176,0.3436,ns
Q26,Συνέπεια αποτελεσμάτων,Πραγματική Χρήση AI,0.171,0.3578,ns
Q26,Συνέπεια αποτελεσμάτων,Εξοικονόμηση Χρόνου,0.164,0.3788,ns
Q25,Ακρίβεια αποτελεσμάτων,Behavioral Intention (BI),0.163,0.3819,ns
Q42,Ανασφάλεια χωρίς επίβλεψη,Αυτοπεποίθηση Λήψης Αποφάσεων,-0.163,0.3823,ns
Q42,Ανασφάλεια χωρίς επίβλεψη,Πραγματική Χρήση AI,-0.162,0.3843,ns
Q25,Ακρίβεια αποτελεσμάτων,Perceived Usefulness (PU),0.145,0.4366,ns
Q34,AI βελτιώνει ποιότητα εργασίας,Perceived Ease of Use (PEOU),0.141,0.4485,ns
Q27,Πληρότητα παραδοτέων,Behavioral Intention (BI),0.139,0.4549,ns
Q41,Ανθρώπινη επίβλεψη απαραίτητη,Αυτοπεποίθηση Λήψης Αποφάσεων,-0.135,0.4699,ns
Q41,Ανθρώπινη επίβλεψη απαραίτητη,Πραγματική Χρήση AI,-0.133,0.4741,ns
Q25,Ακρίβεια αποτελεσμάτων,Εξοικονόμηση Χρόνου,0.127,0.4974,ns
Q35,AI βελτιώνει αποτελέσματα,Perceived Ease of Use (PEOU),0.117,0.5315,ns
Q25,Ακρίβεια αποτελεσμάτων,Πραγματική Χρήση AI,0.117,0.5319,ns
Q34,AI βελτιώνει ποιότητα εργασίας,Εμπιστοσύνη στην AI,-0.11,0.5561,ns
Q40,Ελέγχω αποτελέσματα AI,Αυτοπεποίθηση Λήψης Αποφάσεων,0.108,0.5642,ns
Q41,Ανθρώπινη επίβλεψη απαραίτητη,Perceived Usefulness (PU),-0.088,0.6361,ns
Q42,Ανασφάλεια χωρίς επίβλεψη,Εξοικονόμηση Χρόνου,-0.081,0.6634,ns
Q27,Πληρότητα παραδοτέων,Εμπιστοσύνη στην AI,0.079,0.6733,ns
Q40,Ελέγχω αποτελέσματα AI,Behavioral Intention (BI),-0.061,0.7444,ns
Q40,Ελέγχω αποτελέσματα AI,Perceived Ease of Use (PEOU),-0.06,0.7497,ns
Q27,Πληρότητα παραδοτέων,Perceived Usefulness (PU),0.054,0.7742,ns
Q41,Ανθρώπινη επίβλεψη απαραίτητη,Εξοικονόμηση Χρόνου,-0.052,0.7819,ns
Q41,Ανθρώπινη επίβλεψη απαραίτητη,Εμπιστοσύνη στην AI,-0.05,0.7885,ns
Q26,Συνέπεια αποτελεσμάτων,Perceived Ease of Use (PEOU),0.047,0.8002,ns
Q42,Ανασφάλεια χωρίς επίβλεψη,Behavioral Intention (BI),-0.047,0.8028,ns
Q35,AI βελτιώνει αποτελέσματα,Εμπιστοσύνη στην AI,0.042,0.8221,ns
Q40,Ελέγχω αποτελέσματα AI,Perceived Usefulness (PU),0.034,0.8548,ns
Q41,Ανθρώπινη επίβλεψη απαραίτητη,Behavioral Intention (BI),-0.033,0.8598,ns
Q42,Ανασφάλεια χωρίς επίβλεψη,Perceived Usefulness (PU),-0.028,0.8801,ns
Q36,AI ενισχύει επαγγελματισμό,Perceived Ease of Use (PEOU),0.027,0.8859,ns
Q27,Πληρότητα παραδοτέων,Πραγματική Χρήση AI,-0.019,0.9206,ns
Q25,Ακρίβεια αποτελεσμάτων,Perceived Ease of Use (PEOU),0.01,0.956,ns
